Code_Filiere,Universite,Etablissement,Filiere,Section_Bac,Section_Bac_Nom,Score_2022,Score_2023,Score_2024,Score_2025
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,L,Lettres,78.1,88.2051,93.0132,88.6886
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,M,Mathématiques,145.3221,123.2462,157.8999,105.6484
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,S,Sciences Expérimentales,138.3778,139.5441,129.882,142.3849
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,T,Sciences Techniques,121.2,108.7268,106.8021,103.1692
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,I,Sciences Informatiques,,,,124.0826
10106,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Allemand,E,Économie et Gestion,82.9268,89.9689,101.2454,85.1317
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,L,Lettres,83.5499,80.9145,76.9383,84.6632
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,M,Mathématiques,134.1533,111.52,134.7517,
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,S,Sciences Expérimentales,113.6017,116.415,117.4583,108.8456
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,T,Sciences Techniques,96.4338,96.7288,103.9764,99.3339
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,I,Sciences Informatiques,,,,113.6183
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,E,Économie et Gestion,81.6651,80.5277,74.6244,77.1295
10107,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Russe,SP,Sport,,,,111.1
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,L,Lettres,86.1972,84.3057,75.5052,94.6117
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,S,Sciences Expérimentales,133.6367,133.53,114.9627,118.5467
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,T,Sciences Techniques,113.3517,109.365,101.44,114.4733
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,I,Sciences Informatiques,,,,104.8967
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,E,Économie et Gestion,94.3607,74.8498,82.5579,85.165
10108,Université de Carthage,Institut Supérieur des Langues de Tunis,Licence en Chinois,SP,Sport,,,,112.015
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,L,Lettres,107.35,103.2372,104.0199,102.3225
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,M,Mathématiques,158.5205,153.4594,94.8092,106.3135
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,S,Sciences Expérimentales,167.9472,130.3688,129.775,98.0941
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,T,Sciences Techniques,100.935,111.7508,131.5351,83.8734
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,I,Sciences Informatiques,102.9066,112.227,135.7937,104.0807
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,E,Économie et Gestion,90.9944,75.724,83.7989,85.8623
10118,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Anthropologie,SP,Sport,97.7907,174.8755,116.6728,146.325
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,L,Lettres,104.4485,102.54,103.31,103.41
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,M,Mathématiques,,,,96.14
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,S,Sciences Expérimentales,93.8301,95.7934,96.6065,94.0918
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,T,Sciences Techniques,117.27,100.25,113.11,95.6248
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,E,Économie et Gestion,102.0016,92.1566,84.49,81.1934
10119,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Langue des Signes,SP,Sport,108.365,142.785,139.895,104.57
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,L,Lettres,111.7883,109.5627,109.6857,109.8569
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,M,Mathématiques,121.2845,128.3947,121.3701,107.4029
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,S,Sciences Expérimentales,129.7108,121.665,117.2453,98.9185
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,T,Sciences Techniques,122.0228,131.5244,121.72,125.6501
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,I,Sciences Informatiques,108.8939,105.6625,113.5377,
10120,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Sociologie,E,Économie et Gestion,95.1248,89.5082,83.1356,86.0208
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,L,Lettres,128.755,130.475,131.195,123.985
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,M,Mathématiques,160.52,150.845,152.645,159.315
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,S,Sciences Expérimentales,129.045,127.5,123.795,127.165
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,T,Sciences Techniques,159.7,139.025,138.42,126.165
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,I,Sciences Informatiques,150.635,151.995,108.49,130.54
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,E,Économie et Gestion,117.965,130.81,142.305,122.28
10121,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Psychologie,SP,Sport,151.18,172.835,174.87,187.575
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,L,Lettres,95.608,98.6599,102.7735,95.3584
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,S,Sciences Expérimentales,116.022,94.415,113.0509,94.6684
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,T,Sciences Techniques,,,,88.1395
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,I,Sciences Informatiques,,,,127.5708
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,E,Économie et Gestion,82.5347,92.9472,116.6675,81.4523
10122,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Philosophie,SP,Sport,114.2974,101.93,114.4633,114.95
10123,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Histoire,L,Lettres,81.85,85.2935,86.5966,88.17
10123,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Histoire,S,Sciences Expérimentales,99.6301,86.1208,106.7771,110.0656
10123,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Histoire,T,Sciences Techniques,85.5066,103.23,111.775,105.19
10123,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Histoire,I,Sciences Informatiques,,,,112.4891
10123,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Histoire,E,Économie et Gestion,79.7508,92.7851,80.8632,78.9466
10124,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géographie,L,Lettres,88.8702,88.6199,86.0686,91.9367
10124,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géographie,S,Sciences Expérimentales,119.0929,123.1035,102.4134,103.7686
10124,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géographie,T,Sciences Techniques,75.4527,77.9401,92.29,88.6565
10124,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géographie,E,Économie et Gestion,78.2033,80.1664,78.1467,79.5224
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,L,Lettres,98.65,95.7501,100.6115,101.2809
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,M,Mathématiques,,,,124.8048
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,S,Sciences Expérimentales,106.4881,145.0064,107.2532,132.1878
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,T,Sciences Techniques,95.4955,124.06,108.3786,117.7803
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,I,Sciences Informatiques,89.0857,102.037,113.7678,96.12
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,E,Économie et Gestion,126.6238,84.8278,106.3366,102.3783
10138,Université Ezzitouna,Institut Supérieur de Civilisation Islamique de Tunis,Licence en Sciences Islamiques,SP,Sport,,,,102.94
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,L,Lettres,95.6485,91.8935,96.5452,95.3915
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,M,Mathématiques,96.4233,107.425,114.535,
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,S,Sciences Expérimentales,112.7986,107.5169,147.185,118.58
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,T,Sciences Techniques,98.77,97.6882,111.435,105.4318
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,I,Sciences Informatiques,98.5499,96.8166,98.2669,101.165
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,E,Économie et Gestion,107.92,96.81,104.215,94.5336
10139,Université Ezzitouna,Institut Supérieur de Théologie de Tunis,Licence en Sciences Religieuses,SP,Sport,100.2001,89.995,95.5015,151.015
10158,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba","Licence en Géomatique, Environnement et Aménagement",M,Mathématiques,91.5284,100.775,102.3751,
10158,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba","Licence en Géomatique, Environnement et Aménagement",S,Sciences Expérimentales,78.5652,78.6833,88.4133,77.4917
10158,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba","Licence en Géomatique, Environnement et Aménagement",T,Sciences Techniques,86.2635,77.7951,82.7852,76.4053
10158,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba","Licence en Géomatique, Environnement et Aménagement",I,Sciences Informatiques,93.4383,94.1999,97.575,101.965
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,L,Lettres,147.2883,141.1567,147.29,138.2083
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,M,Mathématiques,111.03,118.64,117.475,127.31
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,S,Sciences Expérimentales,119.095,121.31,122.325,120.055
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,T,Sciences Techniques,150.525,169.03,117.465,109.3265
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,I,Sciences Informatiques,106.65,117.31,114.3783,126.7
10160,Université de La Manouba,"FLAHM - Faculté des Lettres, des Arts et des Humanités de La Manouba",Licence en Géopolitique et Relations Internationales,E,Économie et Gestion,103.3983,78.8162,98.8233,93.1552
10162,Université de Tunis,Institut Supérieur des Métiers du Patrimoine de Tunis,Licence en Conservation et Restauration du Patrimoine Culturel,L,Lettres,75.7315,82.7556,77.3135,76.3899
10162,Université de Tunis,Institut Supérieur des Métiers du Patrimoine de Tunis,Licence en Conservation et Restauration du Patrimoine Culturel,S,Sciences Expérimentales,100.325,114.5455,120.2144,85.7249
10162,Université de Tunis,Institut Supérieur des Métiers du Patrimoine de Tunis,Licence en Conservation et Restauration du Patrimoine Culturel,I,Sciences Informatiques,,,,88.5711
10162,Université de Tunis,Institut Supérieur des Métiers du Patrimoine de Tunis,Licence en Conservation et Restauration du Patrimoine Culturel,E,Économie et Gestion,81.2918,73.2935,79.0802,77.1329
10162,Université de Tunis,Institut Supérieur des Métiers du Patrimoine de Tunis,Licence en Conservation et Restauration du Patrimoine Culturel,SP,Sport,,,,104.7368
10164,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géomatique et Aménagement,M,Mathématiques,89.0651,81.1899,104.1999,
10164,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géomatique et Aménagement,S,Sciences Expérimentales,76.9685,87.2815,90.6852,89.0233
10164,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géomatique et Aménagement,T,Sciences Techniques,79.9215,74.9282,75.045,72.3251
10164,Université de Tunis,Faculté des Sciences Humaines et Sociales de Tunis,Licence en Géomatique et Aménagement,I,Sciences Informatiques,94.3715,98.195,83.9816,78.2282
10167,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Archéologie,L,Lettres,95.4494,96.4951,80.5408,92.5406
10167,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Archéologie,S,Sciences Expérimentales,110.3438,134.1513,91.2265,114.2902
10167,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Archéologie,I,Sciences Informatiques,102.6005,91.5332,89.0707,104.0361
10167,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Archéologie,E,Économie et Gestion,74.768,78.6668,82.3218,90.8363
10167,Université de Tunis El Manar,Institut Supérieur des Sciences Humaines de Tunis,Licence en Archéologie,SP,Sport,,,,96.0967
10168,Université de Tunis El Manar,Faculté des Sciences de Tunis,Licence en Géomatique et Applications,M,Mathématiques,121.9319,125.2703,122.4829,119.8169
10168,Université de Tunis El Manar,Faculté des Sciences de Tunis,Licence en Géomatique et Applications,S,Sciences Expérimentales,112.3875,116.77,110.6701,110.613
10168,Université de Tunis El Manar,Faculté des Sciences de Tunis,Licence en Géomatique et Applications,T,Sciences Techniques,103.7258,107.9951,108.7316,95.7597
10168,Université de Tunis El Manar,Faculté des Sciences de Tunis,Licence en Géomatique et Applications,I,Sciences Informatiques,132.5516,101.0936,104.4534,111.905
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,L,Lettres,110.5325,101.9425,109.3725,113.565
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,S,Sciences Expérimentales,126.195,130.5525,130.0525,132.59
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,T,Sciences Techniques,,,,116.4933
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,I,Sciences Informatiques,,,,96.345
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,E,Économie et Gestion,111.92,85.65,104.2475,114.1525
10190,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Arabe,SP,Sport,,,,95.5125
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,L,Lettres,121.9875,81.5849,113.995,115.3425
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,M,Mathématiques,148.0125,140.105,147.4775,131.575
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,S,Sciences Expérimentales,137.3825,146.6125,126.3675,129.0925
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,T,Sciences Techniques,110.7491,128.145,114.76,125.8875
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,I,Sciences Informatiques,,,,98.11
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,E,Économie et Gestion,113.7175,138.1625,104.2824,130.255
10191,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Français,SP,Sport,,,,150.6325
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,L,Lettres,150.585,144.0325,150.6825,144.54
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,M,Mathématiques,112.1018,165.5825,121.8325,128.7575
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,S,Sciences Expérimentales,168.4575,155.015,153.1,128.14
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,T,Sciences Techniques,160.86,145.68,131.98,118.0075
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,I,Sciences Informatiques,111.385,114.77,118.2925,117.9975
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,E,Économie et Gestion,170.5575,112.7825,126.95,110.1393
10192,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Langues et Lettres : Anglais,SP,Sport,151.2325,164.6475,137.805,140.5875
10193,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Histoire,L,Lettres,87.8384,90.0934,91.4275,94.4577
10193,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Histoire,S,Sciences Expérimentales,102.245,111.85,108.39,97.6601
10193,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Histoire,I,Sciences Informatiques,,,,91.965
10193,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Histoire,E,Économie et Gestion,111.2875,120.04,122.1425,137.335
10193,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Histoire,SP,Sport,,,,128.0925
10194,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Géographie,L,Lettres,84.0227,86.5518,89.446,92.3425
10194,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Géographie,S,Sciences Expérimentales,124.6175,105.3216,111.5975,109.4309
10194,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Géographie,E,Économie et Gestion,128.355,133.01,131.635,136.455
10195,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Philosophie,L,Lettres,92.1575,87.5744,93.415,91.78
10195,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Philosophie,S,Sciences Expérimentales,108.6267,103.8358,111.0619,114.635
10195,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Philosophie,T,Sciences Techniques,,,,109.3125
10195,Université de Tunis,IPEHLST - Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis,Cycle Préparatoire Sciences Humaines : Philosophie,E,Économie et Gestion,82.5726,93.6709,115.5875,96.7217
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,L,Lettres,101.7,96.3101,96.9936,98.52
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,M,Mathématiques,103.3384,109.565,107.065,
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,S,Sciences Expérimentales,101.9901,106.915,107.5869,101.16
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,T,Sciences Techniques,92.4182,94.6118,78.0882,82.7352
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,I,Sciences Informatiques,95.599,90.3952,88.4485,81.7415
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,E,Économie et Gestion,99.5817,79.24,77.1551,74.6782
10200,Université de Tunis,ISAD - Institut Supérieur d'Art Dramatique de Tunis,Licence en Théâtre et Arts du Spectacle,SP,Sport,120.32,90.435,92.6418,109.145
10201,Université de Tunis,ISM - Institut Supérieur de Musique de Tunis,Licence en Musique et Musicologie,L,Lettres,93.4982,79.0569,98.275,83.6598
10201,Université de Tunis,ISM - Institut Supérieur de Musique de Tunis,Licence en Musique et Musicologie,M,Mathématiques,118.0,107.0962,125.98,130.5989
